milestone,cohort,label,level,example
HEADER_FOUR,DESIGN,Prototyping,4,Helps sales and management scope and estimate time for this work on projects
HEADER_FOUR,DESIGN,Prototyping,4,Coaches clients on how to use components to build pages for their site
HEADER_FOUR,DESIGN,Prototyping,4,"Creates example of important pages in style guide, including sample content and guidelines for usage"
HEADER_FOUR,DESIGN,Prototyping,5,"Designs complex, multi-faceted prototypes"
HEADER_FOUR,DESIGN,Prototyping,5,"Implements design on the front-end, filling in for a FED as needed"
HEADER_FOUR,DESIGN,Prototyping,5,Applies a design thinking approach to prototype development and teaches others how to do the same
HEADER_FOUR,DESIGN,Prototyping,5,Leads the team to keep coding standards up to date and modernized
HEADER_ONE,STRATEGY,Strategy Foundations,1,Is building proficiency in Palantir’s UX Strategy practice
HEADER_ONE,STRATEGY,Strategy Foundations,1,"Is developing an understanding of the connections between business goals, user interactions, content strategy, and information architecture"
HEADER_ONE,STRATEGY,Strategy Foundations,1,Understands the founding principles of UX design and usability
HEADER_ONE,STRATEGY,Strategy Foundations,1,Is becoming familiar with the technical strengths and constraints within our preferred technology solutions
HEADER_ONE,STRATEGY,Strategy Foundations,1,"Has working knowledge of UX tools (e.g., Sketch, Invision, Google Analytics, etc.)"
HEADER_ONE,STRATEGY,Strategy Foundations,2,Is strengthening proficiency in Palantir’s UX Strategy practice
HEADER_ONE,STRATEGY,Strategy Foundations,2,"Applies current best practices in the areas of usability, content strategy, accessibility, information architecture, SEO, and UX design"
HEADER_ONE,STRATEGY,Strategy Foundations,2,Understands the strengths and constraints of our preferred technology solutions
HEADER_ONE,STRATEGY,Strategy Foundations,2,Advocates for solutions easily supported by the selected technology while supporting the project goals
HEADER_ONE,STRATEGY,Strategy Foundations,2,Explores new methodologies when the project need arises
HEADER_ONE,STRATEGY,Strategy Foundations,2,Works well in their area of expertise with little to no daily guidance
HEADER_ONE,STRATEGY,Strategy Foundations,2,"Designs and performs competitive analysis, proactively researches relevant examples and seeks out industry trends"
HEADER_ONE,STRATEGY,Strategy Foundations,2,Defines strategy work for themselves and other team members
HEADER_ONE,STRATEGY,Strategy Foundations,2,"Is proficient with UX tools (e.g., Sketch, Invision, Google Analytics, etc.)"
HEADER_ONE,STRATEGY,Strategy Foundations,2,"Problem solves within the framework of project goals, user needs, timeline and budget"
HEADER_ONE,STRATEGY,Strategy Foundations,3,Understands writing for the web and guides clients to develop web content
HEADER_ONE,STRATEGY,Strategy Foundations,3,Creates documentation and training materials for projects
HEADER_ONE,STRATEGY,Strategy Foundations,3,"Confidently communicates UX findings and recommendations, connecting UX reasoning to project goals"
HEADER_ONE,STRATEGY,Strategy Foundations,3,Collaborates with engineering team to learn technical requirements and constraints of a project
HEADER_ONE,STRATEGY,Strategy Foundations,3,Develops new plays in their area of expertise
HEADER_ONE,STRATEGY,Strategy Foundations,3,"Determines solid, well-researched solutions to ambiguous or open-ended problems"
HEADER_ONE,STRATEGY,Strategy Foundations,3,"Adapts process and contributes value within client-approved budget, scope and timeline"
HEADER_ONE,STRATEGY,Strategy Foundations,4,"Has an expert understanding of web components, design systems, and UX best practices"
HEADER_ONE,STRATEGY,Strategy Foundations,4,"Has a expert understanding of content modeling, content strategy, and information architecture"
HEADER_ONE,STRATEGY,Strategy Foundations,4,Helps the sales team accurately convey the value of UX Strategy
HEADER_ONE,STRATEGY,Strategy Foundations,4,Is a sought after partner to co-create new initiatives
HEADER_ONE,STRATEGY,Strategy Foundations,4,Explores and experiments within projects contributing to sizable client value
HEADER_ONE,STRATEGY,Strategy Foundations,4,"Strategically analyzes the risks, benefits, and opportunities of various solutions"
HEADER_ONE,STRATEGY,Strategy Foundations,4,Seeks out discipline-wide opportunities for improvement
HEADER_ONE,STRATEGY,Strategy Foundations,4,Is incredibly knowledgeable in their area of expertise recognized by industry experts/leaders outside of Palantir
HEADER_ONE,STRATEGY,Strategy Foundations,4,Supports the sales team regarding strategy/UX proposal and estimate work
HEADER_ONE,STRATEGY,Strategy Foundations,5,"Is always evolving UX practice, with a focus on how to add the highest value for the client within any time or budget"
HEADER_ONE,STRATEGY,Strategy Foundations,5,Designs and implements industry-leading techniques to solve complex problems
HEADER_ONE,STRATEGY,Strategy Foundations,5,Leads projects that are complex and mission critical
HEADER_ONE,STRATEGY,Strategy Foundations,5,Sees patterns across Palantir strategy work and makes connections between them to move projects and experiments forward
HEADER_ONE,STRATEGY,Strategy Foundations,5,"Is capable of high-level, consultative, predictive thinking"
HEADER_TWO,STRATEGY,Discovery and Planning,1,Conducts content inventories to understand current site map and content models on a site
HEADER_TWO,STRATEGY,Discovery and Planning,1,Working knowledge of inventory tools such as Screaming Frog
HEADER_TWO,STRATEGY,Discovery and Planning,1,Conducts discovery workshops with the guidance of a more experienced team member
HEADER_TWO,STRATEGY,Discovery and Planning,1,Conducts stakeholder interviews with the guidance of a more experienced team member
HEADER_TWO,STRATEGY,Discovery and Planning,1,"Learns about client’s domain, competitors, and business model"
HEADER_TWO,STRATEGY,Discovery and Planning,1,Learns about client’s primary users
HEADER_TWO,STRATEGY,Discovery and Planning,2,"Observes patterns in content inventories, learning what works and where opportunities lie"
HEADER_TWO,STRATEGY,Discovery and Planning,2,Is gaining confidence in leading discovery workshops on their own
HEADER_TWO,STRATEGY,Discovery and Planning,2,Confidently conducts stakeholder interviews
HEADER_TWO,STRATEGY,Discovery and Planning,2,Learns about existing pain points
HEADER_TWO,STRATEGY,Discovery and Planning,2,Understands project goals and aspirations and can discuss them with the client
HEADER_TWO,STRATEGY,Discovery and Planning,2,Audits site content and content models for quality and effectiveness
HEADER_TWO,STRATEGY,Discovery and Planning,2,Learns about primary audiences and their top tasks
HEADER_TWO,STRATEGY,Discovery and Planning,2,Guides less experienced team members in discovery and research tasks
HEADER_TWO,STRATEGY,Discovery and Planning,3,Has developed a library of UX Discovery workshop formats to pull from as needed
HEADER_TWO,STRATEGY,Discovery and Planning,3,Documents and understands existing taxonomies
HEADER_TWO,STRATEGY,Discovery and Planning,3,Confidently leads discovery workshops and pivots as needed to refocus efforts in a specific area based on project needs
HEADER_TWO,STRATEGY,Discovery and Planning,3,"Adapts discovery process to match budget, scope, and project goals"
HEADER_TWO,STRATEGY,Discovery and Planning,3,Experiments with new discovery methodologies when the project need arises
HEADER_TWO,STRATEGY,Discovery and Planning,3,"Learns about how content is created, who writes it, etc. (content governance)"
HEADER_TWO,STRATEGY,Discovery and Planning,3,Learns about and documents all technologies being used on a given project
HEADER_TWO,STRATEGY,Discovery and Planning,3,Conducts competitive analysis
HEADER_TWO,STRATEGY,Discovery and Planning,3,Works with the client to define KPIs
HEADER_TWO,STRATEGY,Discovery and Planning,4,"Expertly decides which research and strategy activities to conduct based on budget, time, and goals"
HEADER_TWO,STRATEGY,Discovery and Planning,4,"Is deeply knowledgeable of trends in our primary client industries (i.e. healthcare, higher education, government)"
HEADER_TWO,STRATEGY,Discovery and Planning,4,Is accountable for project planning and UX strategy resource adjustments based on information gathered during discovery
HEADER_TWO,STRATEGY,Discovery and Planning,4,Develops Project Charter summary of findings from Discovery work for presentation to the client
HEADER_TWO,STRATEGY,Discovery and Planning,5,Sets the vision for Palantir’s Discovery approach and works with the team to identify needed pivots
HEADER_TWO,STRATEGY,Discovery and Planning,5,Validates and adapts project shape for Palantir Strategy work as it evolves
HEADER_THREE,STRATEGY,Research and Analysis,1,"With the help of a more experienced team member, creates user testing plans for project"
HEADER_THREE,STRATEGY,Research and Analysis,1,"With the help of a more experienced team member, writes user testing scripts"
HEADER_THREE,STRATEGY,Research and Analysis,1,"Evaluates existing site content and opportunity areas, with the guidance of a more experienced team member"
HEADER_THREE,STRATEGY,Research and Analysis,1,Evaluates how users currently use a site with various technologies (ie: Hotjar)
HEADER_THREE,STRATEGY,Research and Analysis,1,Participates in user research activities as a note-taker or observer
HEADER_THREE,STRATEGY,Research and Analysis,2,Creates user testing plans and writes user testing scripts
HEADER_THREE,STRATEGY,Research and Analysis,2,"Conducts user research activities such as interviews, surveys, tree tests and usability tests with the guidance of a more experienced team member"
HEADER_THREE,STRATEGY,Research and Analysis,2,Analyzes results learned from user testing
HEADER_THREE,STRATEGY,Research and Analysis,2,"Identifies for ways content to improve, either in structure or format, to better meet project goals"
HEADER_THREE,STRATEGY,Research and Analysis,2,Analyzes user flows captured by various technologies
HEADER_THREE,STRATEGY,Research and Analysis,3,Conducts user testing with a growing number of methodologies
HEADER_THREE,STRATEGY,Research and Analysis,3,Sets up online systems to learn how visitors are using the site
HEADER_THREE,STRATEGY,Research and Analysis,3,Gathers and analyzes data on current and potential information architecture structures
HEADER_THREE,STRATEGY,Research and Analysis,3,Identifies gaps and opportunities within existing content governance
HEADER_THREE,STRATEGY,Research and Analysis,3,"Identifies patterns in site usage such as entrances, exits, high traffic areas"
HEADER_THREE,STRATEGY,Research and Analysis,3,Chooses the highest value attribute to test in a given project
HEADER_THREE,STRATEGY,Research and Analysis,4,"Based on research, advises the client on KPIs for the project"
HEADER_THREE,STRATEGY,Research and Analysis,4,"Is experienced in a number of user testing methodologies, including in person, remote and automated testing"
HEADER_THREE,STRATEGY,Research and Analysis,4,Adapts and evolves processes to any size budget and scope
HEADER_THREE,STRATEGY,Research and Analysis,4,Helps guide less experienced team members with testing and analysis
HEADER_THREE,STRATEGY,Research and Analysis,4,Independently conducts all aspects of complex user-research programs— from early-stage requirements to summative usability testing
HEADER_THREE,STRATEGY,Research and Analysis,4,"Adapts user-research techniques to inform both new and ongoing, complex project initiatives"
HEADER_THREE,STRATEGY,Research and Analysis,5,"Has expert knowledge of user experience practices, testing methodologies, site analytics"
HEADER_THREE,STRATEGY,Research and Analysis,5,"Can identify exact friction points in a project, whether it’s in UX design, content quality, content governance, information architecture or technical implementation"
HEADER_THREE,STRATEGY,Research and Analysis,5,"Designs complex, multi-faceted testing programs"
HEADER_THREE,STRATEGY,Research and Analysis,5,"Expertly conducts all stages of user research— including market analysis, requirements definition, early-to-mid-stage design validations, and summative usability--testing activities"
HEADER_THREE,STRATEGY,Research and Analysis,5,Simultaneously plans and drives multiple user-research activities across widely divergent product domains
HEADER_THREE,STRATEGY,Research and Analysis,5,"Develops and shares cross-industry research outside of Palantir via writings, presentations or panels"
HEADER_FOUR,STRATEGY,Recommendations,1,"Provides a new sitemap, with the help of a more experienced team member"
HEADER_FOUR,STRATEGY,Recommendations,1,Recommends site changes to consider based on user testing
HEADER_FOUR,STRATEGY,Recommendations,1,Creates support documents outlining recommendations for client
HEADER_FOUR,STRATEGY,Recommendations,2,"Creates, presents and gets feedback on new sitemap and information architecture"
HEADER_FOUR,STRATEGY,Recommendations,2,"Creates, presents and gets feedback on new taxonomies"
HEADER_FOUR,STRATEGY,Recommendations,2,Works with UX Designers to brainstorm and sketch key user flows
HEADER_FOUR,STRATEGY,Recommendations,2,Identifies and communicates ways to change content strategy approach
HEADER_FOUR,STRATEGY,Recommendations,2,"Generates recommendations that match budget, scope, and project goals"
HEADER_FOUR,STRATEGY,Recommendations,2,Shares research findings both internally and with the client
HEADER_FOUR,STRATEGY,Recommendations,3,Helps client clarify site business goals
HEADER_FOUR,STRATEGY,Recommendations,3,Helps client define site users’ needs and goals
HEADER_FOUR,STRATEGY,Recommendations,3,Leads internal and client UX working sessions to explore new flows and page structure
HEADER_FOUR,STRATEGY,Recommendations,3,Works with UX Designers to recommend improvements to highest value site experiences
HEADER_FOUR,STRATEGY,Recommendations,3,Proficient in presentation tools used to clearly communicate recommendations and results
HEADER_FOUR,STRATEGY,Recommendations,3,"Effectively makes recommendations to client, through thoughtful explanation and education"
HEADER_FOUR,STRATEGY,Recommendations,3,"Educates a client on a recommended strategy that supports the project goals, business model, and user needs"
HEADER_FOUR,STRATEGY,Recommendations,3,Contributes to functionality reviews and testing of design and development work
HEADER_FOUR,STRATEGY,Recommendations,3,"Confidently engages with the client, quickly cultivating trust and faith in expertise"
HEADER_FOUR,STRATEGY,Recommendations,4,Helps client define project goals and offers suggestions for revisions based on domain insights
HEADER_FOUR,STRATEGY,Recommendations,4,Provides ongoing feedback during design phase to ensure site supports overall strategy
HEADER_FOUR,STRATEGY,Recommendations,4,Helps train client to build pages in a way that supports site strategy
HEADER_FOUR,STRATEGY,Recommendations,4,Helps client define most meaningful KPIs and measurement plans based on site strategy
HEADER_FOUR,STRATEGY,Recommendations,4,"Works with UX Designers, FEDs and Engineers to define technical execution of the strategy"
HEADER_FOUR,STRATEGY,Recommendations,4,"Develops content strategy, management, and governance plans"
HEADER_FOUR,STRATEGY,Recommendations,4,Raises concerns if strategy is getting off-track during execution
HEADER_FOUR,STRATEGY,Recommendations,4,Mentors less experienced team members on how to guide and recommend solutions to a client
HEADER_FOUR,STRATEGY,Recommendations,5,"Talks with client about content governance, sharing guidance for how to fill gaps or create better support for content teams"
HEADER_FOUR,STRATEGY,Recommendations,5,Thinks about project success beyond the life of the current client engagement and works with customer success teams to foster future opportunities
HEADER_FOUR,STRATEGY,Recommendations,5,Persuades clients by advocating for the user which may lead to outcomes not originally conceived of by the client
HEADER_FOUR,STRATEGY,Recommendations,5,Evaluates the quality of the execution of original strategy in design and development work
HEADER_FOUR,STRATEGY,Recommendations,5,Expertly navigates stakeholder feedback (and/or pushback) on recommendations and works toward productive next steps
